responden_id,kepuasan_hubungan,kualitas_komunikasi,merasa_diperhatikan,keintiman_emosional,konflik_berulang
1,sedang,tinggi,iya,tinggi,sering
2,tinggi,tinggi,tidak,sedang,jarang
3,tinggi,sedang,iya,tinggi,jarang
4,sedang,sedang,iya,sedang,sering
5,rendah,sedang,tidak,sedang,jarang
6,rendah,tinggi,iya,sedang,sering
7,rendah,tinggi,iya,sedang,jarang
8,tinggi,rendah,tidak,sedang,sering
9,sedang,tinggi,iya,sedang,jarang
10,tinggi,rendah,tidak,sedang,sering
11,rendah,sedang,iya,rendah,sering
12,tinggi,sedang,iya,sedang,jarang
13,tinggi,sedang,iya,rendah,sering
14,rendah,sedang,iya,rendah,sering
15,rendah,sedang,iya,rendah,jarang
16,rendah,sedang,iya,rendah,sering
17,sedang,tinggi,tidak,rendah,jarang
18,sedang,sedang,iya,tinggi,sering
19,sedang,rendah,iya,rendah,jarang
20,sedang,tinggi,tidak,sedang,jarang
21,sedang,sedang,iya,rendah,jarang
22,rendah,sedang,iya,tinggi,jarang
23,sedang,tinggi,iya,sedang,sering
24,sedang,sedang,tidak,sedang,sering
25,sedang,rendah,tidak,sedang,jarang
26,tinggi,sedang,tidak,sedang,jarang
27,rendah,tinggi,iya,sedang,sering
28,sedang,sedang,tidak,rendah,jarang
29,sedang,tinggi,iya,tinggi,jarang
30,rendah,sedang,tidak,sedang,jarang
31,sedang,rendah,iya,sedang,jarang
32,rendah,sedang,iya,tinggi,jarang
33,rendah,tinggi,iya,sedang,sering
34,tinggi,rendah,tidak,tinggi,jarang
35,tinggi,sedang,iya,sedang,sering
36,tinggi,sedang,tidak,tinggi,jarang
37,sedang,sedang,iya,rendah,jarang
38,rendah,tinggi,iya,tinggi,sering
39,sedang,rendah,tidak,tinggi,jarang
40,sedang,sedang,iya,rendah,jarang
41,rendah,rendah,iya,rendah,sering
42,sedang,tinggi,tidak,sedang,jarang
43,rendah,rendah,iya,tinggi,sering
44,tinggi,sedang,tidak,rendah,jarang
45,sedang,tinggi,iya,sedang,sering
46,sedang,tinggi,iya,rendah,jarang
47,sedang,sedang,tidak,sedang,jarang
48,sedang,sedang,iya,sedang,sering
49,sedang,sedang,iya,tinggi,sering
50,rendah,sedang,iya,sedang,jarang
51,tinggi,sedang,iya,tinggi,jarang
52,tinggi,sedang,iya,sedang,jarang
53,tinggi,sedang,iya,rendah,sering
54,tinggi,sedang,iya,sedang,sering
55,sedang,tinggi,iya,sedang,sering
56,tinggi,tinggi,iya,tinggi,jarang
57,rendah,sedang,iya,tinggi,sering
58,rendah,rendah,iya,rendah,jarang
59,rendah,rendah,iya,rendah,jarang
60,sedang,tinggi,iya,rendah,jarang
61,sedang,sedang,iya,tinggi,sering
