responden_id,status_hubungan,lama_hubungan_tahun,punya_anak,rencana_masa_depan_bersama,ketergantungan_emosional
1,pacaran,4.8,tidak,jelas,tinggi
2,pacaran,4.0,iya,tidak_jelas,rendah
3,pacaran,5.0,tidak,jelas,tinggi
4,pacaran,5.1,tidak,jelas,tinggi
5,pacaran,1.8,tidak,jelas,tinggi
6,pacaran,8.7,tidak,jelas,tinggi
7,pacaran,4.1,tidak,jelas,rendah
8,pacaran,4.2,iya,tidak_jelas,tinggi
9,menikah,0.5,iya,tidak_jelas,tinggi
10,pacaran,4.3,tidak,tidak_jelas,rendah
11,menikah,4.3,iya,jelas,rendah
12,pacaran,1.7,tidak,jelas,rendah
13,pacaran,1.9,iya,jelas,rendah
14,pacaran,2.2,tidak,jelas,rendah
15,menikah,3.4,tidak,tidak_jelas,tinggi
16,pacaran,4.4,iya,jelas,tinggi
17,pacaran,3.6,tidak,jelas,tinggi
18,pacaran,4.6,tidak,jelas,tinggi
19,menikah,5.4,tidak,tidak_jelas,tinggi
20,menikah,5.1,iya,tidak_jelas,rendah
21,pacaran,4.7,tidak,tidak_jelas,rendah
22,menikah,4.6,tidak,jelas,rendah
23,pacaran,4.6,tidak,jelas,rendah
24,menikah,3.7,tidak,jelas,tinggi
25,menikah,2.7,tidak,jelas,tinggi
26,pacaran,3.8,iya,jelas,rendah
27,pacaran,5.3,tidak,jelas,tinggi
28,pacaran,5.3,tidak,jelas,rendah
29,menikah,5.0,tidak,jelas,rendah
30,pacaran,3.0,iya,tidak_jelas,rendah
31,menikah,3.6,tidak,tidak_jelas,tinggi
32,menikah,3.6,tidak,tidak_jelas,rendah
33,pacaran,2.8,tidak,jelas,tinggi
34,menikah,5.8,iya,jelas,tinggi
35,menikah,0.5,tidak,tidak_jelas,tinggi
36,pacaran,8.0,tidak,jelas,tinggi
37,menikah,8.1,iya,jelas,rendah
38,pacaran,4.1,iya,tidak_jelas,tinggi
39,pacaran,4.8,tidak,jelas,rendah
40,menikah,5.7,tidak,jelas,tinggi
41,menikah,2.5,tidak,jelas,tinggi
42,menikah,5.1,iya,tidak_jelas,tinggi
43,pacaran,6.6,tidak,tidak_jelas,tinggi
44,pacaran,0.5,tidak,jelas,rendah
45,pacaran,1.1,iya,jelas,tinggi
46,menikah,5.5,tidak,jelas,rendah
47,menikah,3.5,tidak,jelas,tinggi
48,pacaran,3.2,iya,jelas,tinggi
49,pacaran,3.3,iya,jelas,rendah
50,menikah,1.7,tidak,jelas,rendah
51,menikah,3.2,tidak,tidak_jelas,tinggi
52,pacaran,1.4,tidak,jelas,rendah
53,menikah,6.6,tidak,jelas,rendah
54,menikah,4.3,iya,jelas,tinggi
55,pacaran,4.2,tidak,jelas,tinggi
56,pacaran,5.3,tidak,jelas,tinggi
57,menikah,9.6,tidak,jelas,tinggi
58,menikah,1.9,tidak,jelas,tinggi
59,menikah,0.5,tidak,jelas,tinggi
60,pacaran,3.9,tidak,jelas,tinggi
61,pacaran,0.5,iya,tidak_jelas,tinggi
62,pacaran,3.3,tidak,jelas,rendah
63,pacaran,5.7,tidak,jelas,tinggi
64,pacaran,7.1,tidak,jelas,tinggi
65,pacaran,0.9,iya,jelas,tinggi
66,menikah,2.1,tidak,jelas,rendah
67,pacaran,4.7,tidak,tidak_jelas,tinggi
68,pacaran,5.5,tidak,jelas,tinggi
69,menikah,5.6,iya,jelas,rendah
70,menikah,7.0,tidak,jelas,tinggi
71,pacaran,5.5,tidak,tidak_jelas,tinggi
72,menikah,3.8,tidak,jelas,rendah
73,pacaran,6.1,tidak,jelas,rendah
74,pacaran,4.1,tidak,tidak_jelas,rendah
75,pacaran,4.5,tidak,tidak_jelas,tinggi
76,menikah,3.0,iya,tidak_jelas,tinggi
77,menikah,4.3,iya,tidak_jelas,tinggi
78,menikah,0.7,iya,tidak_jelas,rendah
79,pacaran,6.1,tidak,tidak_jelas,rendah
80,menikah,2.0,tidak,jelas,tinggi
81,pacaran,2.2,iya,jelas,tinggi
82,menikah,0.5,tidak,jelas,tinggi
83,pacaran,2.4,iya,jelas,tinggi
84,pacaran,2.1,iya,jelas,rendah
85,menikah,4.4,tidak,jelas,rendah
86,pacaran,1.4,iya,tidak_jelas,tinggi
87,pacaran,3.1,tidak,jelas,rendah
88,pacaran,2.6,tidak,tidak_jelas,rendah
89,menikah,0.5,iya,jelas,tinggi
90,pacaran,4.5,tidak,jelas,rendah
91,pacaran,3.6,tidak,jelas,tinggi
92,pacaran,4.1,tidak,jelas,rendah
93,pacaran,5.7,tidak,jelas,rendah
94,menikah,4.0,tidak,jelas,tinggi
95,menikah,3.3,iya,jelas,rendah
96,menikah,5.8,iya,tidak_jelas,tinggi
97,pacaran,3.3,iya,jelas,tinggi
98,menikah,3.0,tidak,tidak_jelas,tinggi
99,menikah,5.3,tidak,tidak_jelas,tinggi
100,pacaran,2.4,tidak,jelas,tinggi
101,menikah,6.3,iya,jelas,tinggi
102,menikah,4.3,tidak,jelas,tinggi
103,pacaran,7.1,tidak,jelas,tinggi
104,menikah,3.9,tidak,jelas,tinggi
105,menikah,5.9,tidak,jelas,tinggi
106,menikah,0.7,iya,jelas,rendah
107,menikah,6.6,tidak,jelas,rendah
108,pacaran,5.4,iya,tidak_jelas,tinggi
109,menikah,2.7,iya,jelas,rendah
110,menikah,5.7,iya,jelas,tinggi
111,pacaran,1.5,tidak,tidak_jelas,tinggi
112,pacaran,3.0,tidak,jelas,rendah
113,menikah,2.3,iya,jelas,tinggi
114,menikah,5.8,iya,jelas,tinggi
115,menikah,6.5,iya,tidak_jelas,rendah
116,pacaran,3.1,tidak,jelas,rendah
117,pacaran,1.5,tidak,jelas,rendah
118,menikah,2.0,tidak,tidak_jelas,tinggi
119,menikah,4.2,tidak,jelas,tinggi
120,menikah,4.1,tidak,jelas,rendah
121,pacaran,3.3,tidak,jelas,rendah
122,menikah,2.3,tidak,tidak_jelas,rendah
123,pacaran,7.3,tidak,tidak_jelas,tinggi
124,menikah,2.8,tidak,jelas,tinggi
125,pacaran,2.3,tidak,tidak_jelas,tinggi
126,pacaran,6.3,tidak,jelas,rendah
127,menikah,3.4,iya,jelas,rendah
128,pacaran,5.0,iya,jelas,tinggi
129,pacaran,2.2,tidak,jelas,tinggi
130,pacaran,5.0,iya,jelas,tinggi
131,pacaran,5.5,tidak,jelas,rendah
132,pacaran,1.8,iya,jelas,tinggi
133,pacaran,2.9,tidak,jelas,tinggi
134,pacaran,2.2,tidak,jelas,rendah
135,pacaran,2.9,tidak,jelas,tinggi
136,pacaran,7.2,tidak,jelas,rendah
137,pacaran,4.5,tidak,jelas,rendah
138,pacaran,7.9,iya,jelas,rendah
139,pacaran,7.0,tidak,tidak_jelas,tinggi
140,menikah,6.3,tidak,jelas,rendah
141,menikah,6.9,iya,jelas,tinggi
142,menikah,6.3,iya,tidak_jelas,rendah
143,pacaran,7.4,tidak,jelas,rendah
144,pacaran,5.1,tidak,tidak_jelas,tinggi
