responden_id,pandangan_tentang_selingkuh,religiusitas_pribadi,toleransi_selingkuh,nilai_kesetiaan
1,salah_total,tinggi,nol,kuat
2,salah_total,tinggi,nol,kuat
3,salah_total,tinggi,rendah,kuat
4,salah_total,rendah,nol,kuat
5,manusiawi,rendah,nol,kuat
6,salah_total,tinggi,nol,lemah
7,salah_total,tinggi,nol,kuat
8,salah_total,tinggi,tinggi,kuat
9,salah_total,rendah,nol,lemah
10,manusiawi,tinggi,rendah,kuat
11,salah_total,tinggi,nol,kuat
12,salah_total,rendah,nol,kuat
13,salah_total,rendah,nol,kuat
14,salah_total,tinggi,rendah,kuat
15,manusiawi,tinggi,nol,kuat
16,manusiawi,rendah,nol,kuat
17,salah_total,tinggi,rendah,kuat
18,manusiawi,rendah,nol,lemah
19,manusiawi,tinggi,rendah,kuat
20,salah_total,rendah,tinggi,kuat
21,manusiawi,rendah,nol,lemah
22,salah_total,tinggi,nol,kuat
23,salah_total,rendah,rendah,kuat
24,manusiawi,rendah,nol,lemah
25,salah_total,tinggi,tinggi,lemah
26,salah_total,tinggi,rendah,kuat
27,salah_total,tinggi,nol,lemah
28,salah_total,rendah,rendah,kuat
29,manusiawi,rendah,nol,kuat
30,salah_total,tinggi,nol,kuat
31,salah_total,rendah,rendah,lemah
32,salah_total,rendah,rendah,kuat
33,salah_total,rendah,rendah,kuat
34,manusiawi,tinggi,rendah,kuat
35,manusiawi,tinggi,nol,kuat
36,salah_total,tinggi,nol,kuat
37,salah_total,tinggi,nol,lemah
38,salah_total,rendah,rendah,kuat
39,salah_total,tinggi,nol,kuat
40,manusiawi,tinggi,nol,kuat
41,salah_total,rendah,nol,kuat
42,salah_total,tinggi,rendah,kuat
43,salah_total,tinggi,nol,kuat
44,manusiawi,rendah,nol,lemah
45,salah_total,rendah,nol,kuat
46,salah_total,rendah,rendah,kuat
47,manusiawi,tinggi,rendah,kuat
48,salah_total,rendah,nol,kuat
49,manusiawi,tinggi,rendah,kuat
50,manusiawi,rendah,nol,lemah
51,salah_total,rendah,rendah,lemah
52,salah_total,rendah,rendah,kuat
53,salah_total,tinggi,nol,lemah
54,manusiawi,rendah,nol,lemah
55,manusiawi,tinggi,rendah,kuat
56,manusiawi,rendah,nol,kuat
57,salah_total,tinggi,tinggi,kuat
58,salah_total,tinggi,rendah,kuat
59,salah_total,rendah,rendah,kuat
60,manusiawi,tinggi,rendah,lemah
61,manusiawi,tinggi,nol,kuat
62,salah_total,tinggi,tinggi,kuat
63,salah_total,rendah,tinggi,kuat
64,manusiawi,tinggi,nol,kuat
65,salah_total,tinggi,rendah,kuat
66,salah_total,rendah,rendah,lemah
67,salah_total,rendah,rendah,lemah
68,salah_total,rendah,nol,lemah
