responden_id,gaya_kelekatan,kebutuhan_validasi,kontrol_diri,impulsif,empati_pasangan
1,aman,sedang,tinggi,iya,tinggi
2,cemas,sedang,tinggi,tidak,rendah
3,cemas,sedang,tinggi,tidak,tinggi
4,aman,sedang,rendah,iya,tinggi
5,aman,tinggi,rendah,iya,tinggi
6,aman,rendah,tinggi,tidak,rendah
7,aman,sedang,tinggi,tidak,tinggi
8,cemas,tinggi,rendah,tidak,tinggi
9,cemas,sedang,rendah,tidak,tinggi
10,aman,rendah,rendah,tidak,tinggi
11,aman,sedang,tinggi,tidak,rendah
12,aman,tinggi,rendah,iya,tinggi
13,menghindar,tinggi,tinggi,tidak,tinggi
14,aman,sedang,rendah,tidak,tinggi
15,menghindar,rendah,rendah,iya,tinggi
16,menghindar,tinggi,rendah,tidak,tinggi
17,cemas,sedang,tinggi,tidak,tinggi
18,cemas,tinggi,tinggi,iya,tinggi
19,aman,sedang,rendah,tidak,rendah
20,cemas,rendah,tinggi,tidak,tinggi
21,aman,sedang,rendah,tidak,tinggi
22,menghindar,rendah,tinggi,tidak,tinggi
23,aman,sedang,tinggi,iya,rendah
24,cemas,tinggi,rendah,tidak,tinggi
25,aman,sedang,tinggi,tidak,rendah
26,menghindar,tinggi,tinggi,tidak,tinggi
27,aman,sedang,rendah,iya,tinggi
28,cemas,tinggi,tinggi,tidak,rendah
29,aman,tinggi,rendah,tidak,tinggi
30,aman,sedang,tinggi,iya,tinggi
31,cemas,sedang,rendah,iya,tinggi
32,menghindar,sedang,tinggi,tidak,rendah
33,aman,sedang,rendah,tidak,tinggi
34,menghindar,rendah,rendah,tidak,tinggi
35,cemas,tinggi,rendah,tidak,rendah
36,menghindar,tinggi,rendah,iya,tinggi
37,aman,sedang,tinggi,tidak,tinggi
38,aman,sedang,rendah,tidak,rendah
39,menghindar,sedang,tinggi,tidak,tinggi
40,aman,sedang,rendah,iya,tinggi
41,cemas,sedang,tinggi,tidak,rendah
42,aman,tinggi,tinggi,tidak,rendah
43,aman,sedang,tinggi,iya,tinggi
44,cemas,rendah,tinggi,tidak,tinggi
45,cemas,tinggi,tinggi,tidak,tinggi
46,cemas,sedang,tinggi,tidak,tinggi
47,aman,tinggi,rendah,tidak,rendah
48,aman,rendah,tinggi,tidak,tinggi
49,aman,rendah,tinggi,tidak,tinggi
50,aman,tinggi,rendah,tidak,tinggi
51,menghindar,rendah,tinggi,tidak,tinggi
52,cemas,tinggi,rendah,tidak,rendah
53,aman,tinggi,tinggi,tidak,tinggi
54,menghindar,sedang,tinggi,tidak,rendah
55,aman,rendah,tinggi,tidak,tinggi
56,cemas,sedang,tinggi,iya,rendah
57,aman,tinggi,tinggi,tidak,rendah
58,cemas,sedang,tinggi,tidak,tinggi
59,aman,sedang,tinggi,iya,tinggi
60,aman,sedang,rendah,tidak,tinggi
61,aman,rendah,tinggi,iya,tinggi
62,aman,tinggi,tinggi,iya,tinggi
63,aman,tinggi,rendah,iya,tinggi
64,aman,tinggi,rendah,iya,tinggi
65,aman,sedang,tinggi,tidak,tinggi
66,cemas,tinggi,tinggi,iya,tinggi
67,aman,rendah,tinggi,tidak,tinggi
68,cemas,sedang,rendah,tidak,tinggi
69,aman,sedang,rendah,iya,tinggi
70,menghindar,tinggi,tinggi,tidak,tinggi
71,menghindar,tinggi,rendah,iya,tinggi
72,aman,tinggi,rendah,tidak,tinggi
73,cemas,tinggi,rendah,tidak,tinggi
74,aman,tinggi,rendah,tidak,tinggi
75,menghindar,rendah,rendah,tidak,rendah
76,cemas,tinggi,rendah,tidak,tinggi
77,aman,sedang,rendah,tidak,tinggi
78,aman,sedang,tinggi,tidak,rendah
79,aman,rendah,rendah,iya,tinggi
80,aman,sedang,tinggi,tidak,tinggi
81,cemas,sedang,tinggi,iya,tinggi
82,aman,sedang,tinggi,tidak,tinggi
83,aman,sedang,rendah,tidak,rendah
84,aman,tinggi,tinggi,tidak,tinggi
85,aman,tinggi,rendah,iya,rendah
86,aman,sedang,rendah,tidak,rendah
87,menghindar,sedang,tinggi,tidak,tinggi
88,aman,rendah,tinggi,iya,rendah
89,cemas,sedang,tinggi,tidak,rendah
90,aman,rendah,tinggi,iya,tinggi
91,aman,tinggi,tinggi,tidak,tinggi
92,cemas,sedang,rendah,tidak,tinggi
93,aman,rendah,rendah,tidak,tinggi
94,aman,sedang,tinggi,tidak,tinggi
95,cemas,sedang,tinggi,iya,rendah
96,aman,sedang,rendah,iya,tinggi
97,aman,rendah,tinggi,tidak,tinggi
98,cemas,tinggi,rendah,iya,tinggi
99,cemas,rendah,tinggi,tidak,tinggi
100,aman,rendah,tinggi,tidak,tinggi
101,aman,rendah,tinggi,tidak,rendah
102,aman,sedang,rendah,tidak,rendah
103,aman,rendah,tinggi,tidak,rendah
104,cemas,rendah,tinggi,tidak,tinggi
105,menghindar,sedang,rendah,tidak,tinggi
